"Part1","Part2"
"RNU4-2","RNU6-1266P"
"RNU4-2","RNU6-1092P"
"RNU4-2","RNU6-20P"
"RNU4-2","RNU6-5P"
"RNU4-2","RNA5SP242"
"RNU4-2","RNU6-98P"
"RNU4-2","ENSG00000258486.2"
"RNU4-2","RNU6-7"
"RNU4-2","RNU6-378P"
"RNU4-2","RNU6-621P"
"RNU4-2","RNU6-16P"
"RNU4-2","RNU6-340P"
"RNU4-2","RNU6-888P"
"RNU4-2","RN7SL660P"
"RNU4-2","RNU6-42P"
"RNU4-2","RNU6-1011P"
"RNU4-2","RNA5SP145"
"RNU4-2","RN7SL2"
"RNU4-2","RNU6-1075P"
"RNU4-2","RNU6-10P"
"RNU4-2","RNU6-36P"
"RNU4-2","RNU6-25P"
"RNU4-2","RNU6-14P"
"RNU4-2","RNU6-33P"
"RNU4-2","RNU6-24P"
"RNU4-2","RNU6-128P"
"RNU4-2","RNU6-820P"
"RNU4-2","RNU6-48P"
"RNU4-2","RNU6-641P"
"RNU4-2","RNU6-671P"
"RNU4-2","RNU6-1316P"
"RNU4-2","RNU6-1248P"
"RNU4-2","RNU6-35P"
"RNU4-2","SNORA21"
"RNU4-2","RNU6-234P"
"RNU4-2","RNU6-32P"
"RNU4-2","RNU6-761P"
"RNU4-2","RNU6-757P"
"RNU4-2","RNU6-1329P"
"RNU4-2","RNU6-727P"
"RNU4-2","RN7SL735P"
"RNU4-2","RNU6-1024P"
"RNU4-2","RNU6-1048P"
"RNU4-2","RNA5SP216"
"RNU4-2","RNU6-116P"
"RNU4-2","RNU6-669P"
"RNU4-2","RNU6-358P"
"RNU4-2","RNU6-17P"
"RNU4-2","RN7SL444P"
"RNU4-2","RNU6-180P"
"RNU4-2","RNU6-847P"
"RNU4-2","RNU6-475P"
"RNU4-2","RNU6-164P"
"RNU4-2","RNU6-487P"
"RNU4-2","SNORD3A"
"RNU4-2","RNU6-222P"
"RNU4-2","RNU6-41P"
"RNU4-2","RNU6-1249P"
"RNU4-2","RN7SL5P"
"RNU4-2","RNU6-40P"
"RNU4-2","RNU6-462P"
"RNU4-2","ENSG00000262202.2"
"RNU4-2","RNU6-39P"
"RNU4-2","SNORD42B"
"RNU4-2","RNU6-622P"
"RNU4-2","RNU6-958P"
"RNU4-2","SNORD3B-2"
"RNU4-2","RNA5SP150"
"RNU4-2","RNU6-106P"
"RNU4-2","RNU6-553P"
"RNU4-2","SNORD3C"
"RNU4-2","RNA5SP226"
"RNU4-2","RNU6-1225P"
"RNU4-2","RNU6-1201P"
"RNU4-2","RNU6-1128P"
"RNU4-2","SNORD58A"
"RNU4-2","RNU6-585P"
"RNU4-2","RNU6-493P"
"RNU4-2","RNU6-27P"
"RNU4-2","RNU6-380P"
"RNU4-2","RNU6-737P"
"RNU4-2","RNU6-658P"
"RNU4-2","RNU6-31P"
"RNU4-2","RNU6-45P"
"RNU4-2","RNU6-253P"
"RNU4-2","ENSG00000262074.3"
"RNU4-2","RNU6-166P"
"RNU4-2","RNU6-453P"
"RNU4-2","RNU6-208P"
"RNU4-2","RNU6-28P"
"RNU4-2","RNU6-649P"
"RNU4-2","RNU6-47P"
"RNU4-2","SNORD3B-1"
"RNU4-2","RNU6-1020P"
"RNU4-2","RNU6-154P"
"RNU4-2","RNU6-1182P"
"RNU4-2","ENSG00000265185.1"
"RNU4-2","RNU6-580P"
"RNU4-2","RNU6-60P"
"RNU4-2","RNU6-169P"
"RNU4-2","RNU6-991P"
"RNU4-2","RNU6-738P"
"RNU4-2","RNU6-310P"
"RNU4-2","RNU6-862P"
"RNU4-2","RNU6-21P"
"RNU4-2","RNU6-23P"
"RNU4-2","RNU6-51P"
"RNU4-2","RNU6-301P"
"RNU4-2","RNA5SP429"
"RNU4-2","TMC5"
"RNU4-2","VENTXP4"
"RNU4-2","TP63"
"RNU4-2","ACTG1"
"RNU4-2","BSPRY"
"RNU4-2","C2orf70"
"RNU4-2","CCDC177"
"RNU4-2","CEP97"
"RNU4-2","CUBN"
"RNU4-2","GAS5"
"RNU4-2","IRAK1"
"RNU4-2","NUP43"
"RNU4-2","OLA1P3"
"RNU4-2","OPRD1"
"RNU4-2","P2RY11"
"RNU4-2","PPFIA1P1"
"RNU4-2","RAD51-AS1"
"RNU4-2","RCBTB1"
"RNU4-2","AC019072.1"
"RNU4-2","AC108134.2"
"RNU4-2","FAM166C"
"RNU4-2","RPL19P16"
"RNU4-2","SMG1"
"RNU4-2","SNORD118"
"RNU4-2","SOAT1"
"RNU4-2","THADA"
"RNU4-2","U1"
"RNU4-2","ZNF536"
